Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,Exter Qual,Bsmt Qual,BsmtFin Type 1,BsmtFin SF 1,Total Bsmt SF,Heating QC,2nd Flr SF,Gr Liv Area,Full Bath,Bedroom AbvGr,Kitchen Qual,Fireplaces,Garage Cars,Wood Deck SF,Open Porch SF,Enclosed Porch,Property Age,Yrs Since Remod,MS Zoning_FV,MS Zoning_RL,MS Zoning_RM,Neighborhood_BrkSide,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_Sawyer,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,House Style_2Story,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_MetalSd,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Stone,Garage Type_Attchd,Garage Type_BuiltIn,Garage Type_Detchd,Garage Type_NA,SalePrice
68.73849737914968,13517,6,8,289.0,3,3,6,533.0,725.0,4,754,1479,2,3,3,0,2.0,0,44,0,34,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,130500
43.0,11492,7,5,132.0,3,4,6,637.0,913.0,4,1209,2122,2,4,3,1,2.0,0,74,0,13,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,220000
68.0,7922,5,7,0.0,2,3,6,731.0,1057.0,2,0,1057,1,3,3,0,1.0,0,52,0,57,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,109000
73.0,9802,5,5,0.0,2,4,1,0.0,384.0,3,700,1444,2,3,2,0,2.0,100,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,174000
82.0,14235,6,8,0.0,2,2,1,0.0,676.0,2,614,1445,2,3,2,0,2.0,0,59,0,110,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,138500
137.0,16492,6,6,0.0,3,3,5,247.0,1517.0,4,0,1888,2,2,3,1,2.0,0,0,0,44,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,190000
35.0,3675,6,5,82.0,2,4,6,547.0,547.0,3,0,1072,2,2,2,0,2.0,0,44,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,140000
68.73849737914968,12160,5,5,180.0,2,3,3,1000.0,1188.0,1,0,1188,1,3,2,0,2.0,0,0,0,51,51,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,142000
68.73849737914968,15783,5,5,0.0,2,3,3,292.0,924.0,2,0,924,1,2,2,0,1.0,0,324,0,55,55,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,112500
70.0,11606,5,5,192.0,2,4,3,650.0,1040.0,2,1040,2080,1,5,1,2,2.0,335,0,0,38,38,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,135000
21.0,1680,6,5,232.0,2,3,5,387.0,483.0,2,504,987,1,2,2,0,1.0,0,0,0,37,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,85400
64.0,7488,7,5,0.0,3,4,6,393.0,1208.0,4,0,1208,2,2,3,0,2.0,105,58,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,183600
120.0,26400,5,7,0.0,3,0,0,0.0,0.0,4,728,2016,1,4,2,1,2.0,0,0,0,129,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,131000
24.0,2645,8,5,456.0,3,4,6,813.0,960.0,4,645,1607,2,3,3,0,2.0,169,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,200000
74.0,9627,7,5,0.0,3,4,6,24.0,1351.0,4,0,1361,2,3,3,0,2.0,0,50,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,193000
93.0,10114,5,5,0.0,2,5,1,0.0,1430.0,4,0,1430,2,3,3,0,2.0,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,173500
